IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262068, W: 0.7112, X: -0.2173, Y: 0.5615, Z: 0.3629
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262068, W: -0.5740, X: -0.3001, Y: -0.5414, Z: 0.5361
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262068, W: -0.7134, X: -0.4255, Y: -0.3295, Z: 0.4487
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262068, W: 0.4423, X: -0.2520, Y: 0.6759, Z: 0.5330
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262068, W: 0.6015, X: -0.3907, Y: 0.6166, Z: 0.3245
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262068, W: -0.3019, X: -0.3482, Y: -0.6090, Z: 0.6455
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262068, W: 0.7551, X: 0.3469, Y: 0.5562, Z: -0.0124
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262068, W: 0.6876, X: 0.0350, Y: 0.6240, Z: -0.3696
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262068, W: 0.7470, X: 0.3198, Y: 0.5675, Z: -0.1327
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262179, W: 0.5896, X: -0.2993, Y: 0.5745, Z: 0.4824
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262179, W: 0.7084, X: -0.2164, Y: 0.5629, Z: 0.3668
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262179, W: -0.5701, X: -0.3013, Y: -0.5435, Z: 0.5374
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262179, W: -0.7109, X: -0.4267, Y: -0.3322, Z: 0.4496
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262179, W: 0.4412, X: -0.2531, Y: 0.6757, Z: 0.5336
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262179, W: 0.6010, X: -0.3913, Y: 0.6162, Z: 0.3256
